Transaction_ID,Customer_ID,Transaction_Amount (in Million),Distance_From_Home,Device_ID,Card_Type,Account_Balance (in Million),Daily_Transaction_Count,Weekly_Transaction_Count,Avg_Transaction_Amount (in Million),Max_Transaction_Last_24h (in Million),Is_International_Transaction,Is_New_Merchant,Failed_Transaction_Count,Unusual_Time_Transaction,Previous_Fraud_Count,Fraud_Label,hour,minute,day_of_week,day_of_month,month,quarter,is_weekend,is_night,hour_sin,hour_cos,dow_sin,dow_cos,log_transaction_amount,amount_vs_avg_ratio,amount_vs_max24_ratio,Transaction_Type_ATM,Transaction_Type_Online,Transaction_Type_POS,Merchant_Category_ATM,Merchant_Category_Clothing,Merchant_Category_Electronics,Merchant_Category_Fuel,Merchant_Category_Grocery,Merchant_Category_Restaurant,Transaction_Location_Bangkok,Transaction_Location_Dubai,Transaction_Location_Faisalabad,Transaction_Location_Islamabad,Transaction_Location_Karachi,Transaction_Location_Kuala Lumpur,Transaction_Location_Lahore,Transaction_Location_London,Transaction_Location_Multan,Transaction_Location_Singapore,Customer_Home_Location_Faisalabad,Customer_Home_Location_Islamabad,Customer_Home_Location_Karachi,Customer_Home_Location_Lahore,Customer_Home_Location_Multan
431438.0,24239.0,6.0,466.0,363229.0,1.0,30.0,4.0,17.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0,10,54,5,8,3,1,1,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.9459101490553132,2.99999850000075,1.4999996250000938,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
902451.0,77250.0,9.0,215.0,480487.0,1.0,4.0,4.0,9.0,5.0,8.0,1.0,1.0,1.0,0.0,1.0,0,19,23,4,17,1,1,0,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,2.302585092994046,1.799999640000072,1.1249998593750177,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
223410.0,34294.0,3.0,216.0,297313.0,0.0,38.0,5.0,18.0,5.0,8.0,1.0,0.0,0.0,1.0,1.0,0,10,20,2,30,4,2,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,1.3862943611198906,0.599999880000024,0.3749999531250059,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
145626.0,92041.0,1.0,408.0,948506.0,0.0,22.0,6.0,18.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0,14,11,4,21,2,1,0,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.6931471805599453,0.199999960000008,0.9999990000010001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
414637.0,71578.0,1.0,209.0,954201.0,0.0,10.0,3.0,18.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0,4,12,4,11,4,2,0,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.6931471805599453,0.24999993750001562,0.33333322222225925,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
627496.0,31399.0,7.0,385.0,604441.0,1.0,5.0,5.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0,15,34,4,25,4,2,0,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,2.0794415416798357,1.7499995625001092,1.1666664722222546,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
275195.0,67878.0,9.0,546.0,588577.0,1.0,15.0,7.0,10.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0,9,17,0,17,2,1,0,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,2.302585092994046,4.499997750001125,0.9999998888889013,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
684837.0,40546.0,1.0,106.0,606020.0,0.0,10.0,3.0,5.0,5.0,7.0,1.0,1.0,0.0,0.0,1.0,0,22,17,1,25,3,1,0,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.6931471805599453,0.199999960000008,0.1428571224489825,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
710739.0,35799.0,8.0,383.0,578150.0,0.0,16.0,3.0,13.0,5.0,6.0,0.0,1.0,2.0,0.0,0.0,0,5,43,3,6,2,1,0,1,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,2.1972245773362196,1.599999680000064,1.3333331111111482,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
683520.0,26010.0,2.0,504.0,681527.0,1.0,23.0,4.0,14.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0,18,6,1,4,2,1,0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1.0986122886681096,0.99999950000025,0.99999950000025,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
